Entry	Max cosine similarity	Mean cosine similarity	Max percent identity	Mean percent identity
WP_063343491	0.992381	0.96381605	0.41515151515151516	0.3069652632685258
WP_063340417	0.9951543	0.9755894	0.4649122807017544	0.3110075011333741
WP_057713727	0.99761885	0.97400117	0.4632352941176471	0.29748232315482465
WP_057714593	0.9968595	0.9757146	0.4246913580246914	0.3082918906051925
WP_057714718	0.99741143	0.97251046	0.5024271844660194	0.30841284346872005
WP_057715016	0.9919915	0.9635664	0.41492537313432837	0.3073785329071376
WP_057715924	0.9988147	0.97245413	0.7744360902255639	0.3116907948987882
WP_053163627	0.9982214	0.974557	0.4957627118644068	0.29925862966297073
WP_054594340	0.9961962	0.97379035	0.460655737704918	0.27614426764142164
WP_054594536	0.99966574	0.9751485	0.7741228070175439	0.29980064209850577
WP_054594538	0.99817085	0.97453636	0.4957627118644068	0.29891484852486633
WP_054595050	0.99915373	0.96012723	0.8153526970954357	0.30042637816278167
WP_054596267	0.9989979	0.9724619	0.7894736842105263	0.31154635198633285
WP_054596656	0.9952247	0.9752767	0.45614035087719296	0.31171829868392203
WP_054596807	0.9965783	0.9751651	0.4271604938271605	0.30873156817863934
WP_054597481	0.99225307	0.9725968	0.4166666666666667	0.3031581542798669
WP_054597487	0.99235666	0.97485733	0.4816753926701571	0.3087025251414964
WP_054597488	0.99724185	0.9721941	0.5126903553299492	0.30762564694800676
WP_054597490	0.9974271	0.9714545	0.5251989389920424	0.309097431177213
WP_054597491	0.9981921	0.97144175	0.575682382133995	0.30675826445090154
WP_054598124	0.9959614	0.9733502	0.5275590551181102	0.29825823558277537
WP_060738105	0.99665624	0.97546273	0.4222222222222222	0.308173096839654
WP_060738180	0.9951713	0.9756413	0.4649122807017544	0.31206631792993633
WP_060739768	0.99970007	0.97342956	0.8682352941176471	0.305238902066073
WP_060739786	0.99313617	0.96877563	0.5137614678899083	0.3093816314018744
WP_025216023	0.9984273	0.97451466	0.5021186440677966	0.29916450960340385
WP_060740154	0.9955015	0.97418404	0.5155038759689923	0.299084067982622
WP_060740156	0.99962366	0.97491556	0.7807017543859649	0.2995324107763094
WP_060740275	0.99021167	0.9649685	0.43037974683544306	0.2461927927345013
WP_060740332	0.99693227	0.97370845	0.46808510638297873	0.27310734106451545
WP_060740336	0.9963335	0.9741846	0.45990180032733224	0.2760447788499767
WP_060740343	0.99904734	0.96854955	0.6666666666666666	0.29938641577412467
WP_060740344	0.9998412	0.97131383	0.9196428571428571	0.2756529905241494
WP_060741122	0.993698	0.970636	0.39937106918238996	0.295435469768121
WP_060741243	0.9977645	0.9711146	0.4879725085910653	0.3041712793166188
WP_060741989	0.99956477	0.9760083	0.8147512864493996	0.27897697091231083
WP_060741991	0.99218816	0.96343374	0.41515151515151516	0.3062977162337547
WP_063321224	0.99745244	0.97128147	0.5278514588859416	0.3080407278432782
WP_063321988	0.99664855	0.9755202	0.4246913580246914	0.30839049948632097
WP_063322430	0.99929404	0.9721217	0.7619047619047619	0.31121368505009406
WP_014340747	0.9978446	0.9731799	0.4703389830508475	0.3016219215386113
WP_086936699	0.9952136	0.9739071	0.5116279069767442	0.2987832785649256
WP_063323898	0.99963456	0.9747414	0.7763157894736842	0.29990473784288907
WP_063324030	0.9898182	0.9648499	0.4177215189873418	0.2439734206931476
WP_063324031	0.99975634	0.97400343	0.8878504672897196	0.3103335828909962
WP_063324926	0.9980215	0.97407925	0.4742647058823529	0.2978053954602718
WP_063320756	0.9923264	0.9635593	0.4114114114114114	0.3064885181583604
WP_003280093	0.99797	0.96904874	0.7793427230046949	0.2808665043407154
WP_003294550	0.99802595	0.96972847	0.7355371900826446	0.28848686853418776
WP_015277224	0.99627	0.971658	0.5169902912621359	0.3090781688346522
WP_015277229	0.9959184	0.9706874	0.5013192612137203	0.30710791066102966
WP_015278222	0.9859502	0.9555477	0.4115853658536585	0.30828323042240324
WP_015278495	0.999424	0.97316325	0.742014742014742	0.30435036347463734
WP_015278496	0.9991675	0.96904856	0.6713881019830028	0.308850924814243
WP_015278497	0.9991488	0.97208345	0.8256513026052105	0.29635805587724834
WP_015275423	0.9960201	0.97344494	0.4639344262295082	0.27513895326669124
WP_015275719	0.99947387	0.9711212	0.7769423558897243	0.3095778497485268
WP_011864920	0.9986081	0.974424	0.44816053511705684	0.3067549981951145
WP_011758678	0.9987387	0.97150636	0.5203045685279187	0.2967530804535891
WP_011759060	0.9981482	0.97497237	0.4485049833887043	0.31222341591131975
WP_011759520	0.99762946	0.97629523	0.603225806451613	0.30584326563957875
WP_011760212	0.99921393	0.9746838	0.728	0.294052334277288
WP_011760344	0.9981151	0.97530556	0.6622516556291391	0.30567054801238375
WP_011760751	0.9987766	0.9761963	0.6673913043478261	0.29884435021301586
WP_011760753	0.99545944	0.9743539	0.5236220472440944	0.2968198026785088
NP_436855	0.98833525	0.96503687	0.40875912408759124	0.2948196501627988
NP_436856	0.9968141	0.9753885	0.4273972602739726	0.3104065252408796
NP_437724	0.9997569	0.9760494	0.7582037996545768	0.2781649408277727
NP_437725	0.9980332	0.97099835	0.5327868852459017	0.2986017448797537
NP_437726	0.99065536	0.96109706	0.41389728096676737	0.3086364721855677
NP_437227	0.997174	0.96587175	0.46788990825688076	0.18789606840612139
NP_437228	0.997186	0.9720833	0.4222222222222222	0.30852459674657984
NP_437492	0.99776673	0.97328097	0.5714285714285714	0.3130091790264783
NP_385263	0.99622977	0.9684761	0.6181229773462783	0.3086603524173619
NP_384883	0.99700385	0.9762673	0.5370741482965932	0.29989279887968
NP_384884	0.99251443	0.97304946	0.43950617283950616	0.3095272789511567
NP_384885	0.9985773	0.9737725	0.5191873589164786	0.3026032310552204
NP_384521	0.9969051	0.97296715	0.5	0.30968691650831087
NP_384733	0.9965234	0.96886945	0.41299303944315546	0.3050143579287774
NP_384734	0.9918334	0.97636586	0.4037089871611983	0.25753110035119436
NP_384124	0.99782145	0.97604614	0.48303393213572854	0.29457558526832467
NP_384306	0.99417055	0.9736541	0.46258503401360546	0.30894974268315795
NP_384741	0.99450415	0.9693728	0.4291845493562232	0.29928226100027777
NP_387397	0.99972546	0.97376454	0.9414634146341463	0.30725921264370293
WP_010211220	0.99959624	0.9759579	0.8078902229845626	0.2792416100328702
WP_010211217	0.99840385	0.96807426	0.6330798479087453	0.2872961755397286
WP_010211216	0.9982809	0.9685122	0.4742268041237113	0.3025754576132298
WP_010210955	0.9965657	0.975827	0.4253731343283582	0.3092977184509816
WP_010210414	0.9924416	0.9743856	0.48429319371727747	0.30854147378001584
WP_010210413	0.9970479	0.9723587	0.5050761421319797	0.30770542039825843
WP_010210411	0.9972861	0.97114265	0.5305039787798409	0.3083382193648473
WP_010209382	0.9995193	0.976404	0.84	0.2927030465259169
WP_010209327	0.9916867	0.9721818	0.41883116883116883	0.30136420768101
WP_010209291	0.99805325	0.97245103	0.44846796657381616	0.30612385834227174
WP_010208316	0.9996785	0.97452104	0.8497536945812808	0.3097307497252731
WP_038453710	0.9992457	0.97209126	0.6945107398568019	0.2970926579658942
WP_010207013	0.99627954	0.9737748	0.4704918032786885	0.2764522989104494
WP_010207016	0.9969056	0.9734751	0.4713584288052373	0.2733387157097602
WP_010207340	0.9995367	0.97433156	0.7807017543859649	0.2992206650437363
WP_010207341	0.99822104	0.97430855	0.4978813559322034	0.2987066913109609
WP_010213153	0.9975139	0.9716282	0.5225409836065574	0.29674404368346263
